Intenções Classificadas,Intenções Esperadas
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
TÉCNICO SINAL,TÉCNICO SINAL
TÉCNICO SINAL,TÉCNICO FALTA DE SINAL
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
TÉCNICO FALTA DE SINAL,TÉCNICO FALTA DE SINAL
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
TENTANDO CONTATO,TENTANDO CONTATO
TENTANDO CONTATO,TENTANDO CONTATO
TÉCNICO SINAL,TÉCNICO SINAL
TÉCNICO SINAL,TÉCNICO FALTA DE SINAL
NONE,TÉCNICO
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
TRANSFERE HUMANO,TRANSFERE HUMANO
TÉCNICO FALTA DE SINAL,TÉCNICO FALTA DE SINAL
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA FALSA,RESPOSTA FALSA
PRONOME QUANTIDADE,PRONOME QUANTIDADE
TÉCNICO CANAL,TÉCNICO CANAL
TÉCNICO APARELHO QUEIMADO,TÉCNICO APARELHO QUEIMADO
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
TÉCNICO CANAL,TÉCNICO CANAL
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO SINAL,TÉCNICO SINAL
TÉCNICO APARELHO NÃO LIGA,TÉCNICO APARELHO NÃO LIGA
TÉCNICO SINAL,TÉCNICO SINAL
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
TÉCNICO SINAL,TÉCNICO SINAL
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO APARELHO NÃO LIGA,TÉCNICO APARELHO NÃO LIGA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
TÉCNICO TENTOU PROCEDIMENTO,TÉCNICO TENTOU PROCEDIMENTO
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO IMAGEM PRETA,TÉCNICO IMAGEM PRETA
TÉCNICO SINAL,TÉCNICO SINAL
TÉCNICO TENTOU PROCEDIMENTO,TÉCNICO TENTOU PROCEDIMENTO
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO SINAL,TÉCNICO SINAL
TÉCNICO TENTOU PROCEDIMENTO,TÉCNICO TENTOU PROCEDIMENTO
TÉCNICO SINAL,TÉCNICO SINAL
TÉCNICO FALTA DE SINAL,TÉCNICO FALTA DE SINAL
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO SINAL,TÉCNICO SINAL
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO APARELHO QUEIMADO,TÉCNICO APARELHO QUEIMADO
TÉCNICO FALTA DE SINAL,TÉCNICO FALTA DE SINAL
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO FALTA DE SINAL,TÉCNICO FALTA DE SINAL
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
TÉCNICO FALTA DE SINAL,TÉCNICO FALTA DE SINAL
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO SINAL,TÉCNICO SINAL
TÉCNICO ANTENA,TÉCNICO SINAL
TÉCNICO IMAGEM PRETA,TÉCNICO IMAGEM PRETA
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO APARELHO QUEIMADO,TÉCNICO APARELHO QUEIMADO
TÉCNICO IMAGEM CINZA,TÉCNICO IMAGEM CINZA
REPETE,REPETE
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA FALSA,RESPOSTA FALSA
MUDAR LUGAR APARELHO,MUDAR LUGAR APARELHO
QUEM É VOCÊ,QUEM É VOCÊ
TÉCNICO TENTOU PROCEDIMENTO,TÉCNICO TENTOU PROCEDIMENTO
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
NONE,RESPOSTA VERDADEIRA
TÉCNICO FALTA DE SINAL,TÉCNICO FALTA DE SINAL
TENTANDO CONTATO,TENTANDO CONTATO
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA VERDADEIRA,RESPOSTA FALSA
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO SINAL,TÉCNICO SINAL
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
TÉCNICO APARELHO TRAVADO,TÉCNICO APARELHO TRAVADO
TÉCNICO APARELHO TRAVADO,TÉCNICO APARELHO TRAVADO
TÉCNICO FALTA DE SINAL,TÉCNICO FALTA DE SINAL
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
TÉCNICO FALTA DE SINAL,TÉCNICO FALTA DE SINAL
REPETE,REPETE
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO APARELHO NÃO LIGA,TÉCNICO APARELHO NÃO LIGA
RESPOSTA FALSA,RESPOSTA FALSA
NONE,NONE
TÉCNICO IMAGEM PRETA,TÉCNICO IMAGEM PRETA
TÉCNICO SINAL,TÉCNICO SINAL
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
TÉCNICO IMAGEM AZUL,TÉCNICO IMAGEM AZUL
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO FALTA DE SINAL,TÉCNICO FALTA DE SINAL
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
TÉCNICO CANAL,TÉCNICO CANAL
NONE,NONE
TÉCNICO APARELHO QUEIMADO,TÉCNICO APARELHO QUEIMADO
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO APARELHO QUEIMADO,TÉCNICO APARELHO QUEIMADO
TENTANDO CONTATO,TENTANDO CONTATO
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO CANAL,TÉCNICO CANAL
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO APARELHO QUEIMADO,TÉCNICO APARELHO QUEIMADO
TÉCNICO APARELHO NÃO LIGA,TÉCNICO APARELHO NÃO LIGA
TÉCNICO SINAL,TÉCNICO FALTA DE SINAL
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO ANTENA,TÉCNICO APARELHO QUEIMADO
TÉCNICO ANTENA,TÉCNICO CONEXÃO CABOS
PRONOME QUANTIDADE,PRONOME QUANTIDADE
RESPOSTA FALSA,RESPOSTA FALSA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
NONE,TÉCNICO SINAL
TÉCNICO SINAL,TÉCNICO FALTA DE SINAL
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
TÉCNICO APARELHO QUEIMADO,TÉCNICO APARELHO QUEIMADO
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO APARELHO QUEIMADO,TÉCNICO TENTOU PROCEDIMENTO
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO TENTOU PROCEDIMENTO,TÉCNICO TENTOU PROCEDIMENTO
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO IMAGEM AZUL,TÉCNICO SINAL
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA FALSA,RESPOSTA FALSA
TRANSFERE HUMANO,TRANSFERE HUMANO
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA VERDADEIRA,RESPOSTA VERDADEIRA
RESPOSTA FALSA,RESPOSTA FALSA
TÉCNICO FALTA DE SINAL,TÉCNICO FALTA DE SINAL
